name,link,affiliations,email,cited_by
Diana Marlyna,https://scholar.google.com/citations?hl=en&user=9tpZU2oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
FIKA TRISNAWATI,https://scholar.google.com/citations?hl=en&user=9YSYgJsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
"Adhy Setiyanto ST, MBA",https://scholar.google.com/citations?hl=en&user=40SU8-8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
BAGAS_CAHYA_RAMADHAN Mahasiswa,https://scholar.google.com/citations?hl=en&user=UtMUHBsAAAAJ,UNIVERSITAS TEKNOKRAT INDONESIA,Verified email at teknokrat.ac.id,169.0
Fanda Savestra,https://scholar.google.com/citations?hl=en&user=bzbDbd8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
Zainabun Mardiyansyah,https://scholar.google.com/citations?hl=en&user=RfLwUsUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
Dzulfi Allaudin Hafidz,https://scholar.google.com/citations?hl=en&user=_7zJid4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
Ilham Baihaqi,https://scholar.google.com/citations?hl=en&user=oM-TXlcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
DANI_SWARA_ARSYALDI Mahasiswa,https://scholar.google.com/citations?hl=en&user=jVNn8kkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
MADE YUNINDA PUTRI,https://scholar.google.com/citations?hl=en&user=lmIghHAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
ALIFIAN_AKBAR Mahasiswa,https://scholar.google.com/citations?hl=en&user=V-YxBgUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,169.0
"Shiwi Angelica, SE, MBA",https://scholar.google.com/citations?hl=en&user=m_5DhsgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,168.0
SAMUEL_HUTAGALUNG Mahasiswa,https://scholar.google.com/citations?hl=en&user=R75M5PoAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,167.0
Afrianto,https://scholar.google.com/citations?hl=en&user=4fZZFI4AAAAJ,Assistant Professor of Systemic Functional Linguistics at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,160.0
